Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100
-1.195,0.074,-0.169,-0.168,-0.717,-0.246,1.427,-0.044,-0.564,-0.651,1.268,0.29,-0.188,1.226,0.388,0.061,-0.381,-0.018,-1.237,0.347,0.565,0.719,1.734,-0.572,-0.88,0.589,-0.473,0.611,-0.806,0.19,0.118,-1.376,-0.711,0.469,-1.931,0.619,-0.296,-3.022,0.767,0.339,-0.461,-0.356,-0.431,1.041,1.563,-1.485,-0.131,0.698,0.444,-0.725,0.831,-1.616,-0.585,0.284,-0.8,0.235,-0.389,0.314,-0.081,-1.733,-0.292,-0.409,0.511,-0.15,-1.013,1.578,0.69,-1.507,0.618,0.014,-1.79,1.175,-0.705,-0.563,0.236,1.14,0.038,0.884,-1.3,0.616,-1.016,3.418,1.125,-1.198,-0.102,0.058,2.315,0.555,2.048,-0.062,1.409,-0.315,-0.296,0.332,-0.386,0.064,0.45,0.595,0.879,1.479
0.83,-1.66,0.786,-0.043,-0.236,-0.055,0.763,1.075,-1.639,-0.558,1.877,-0.74,1.281,-0.247,-0.563,-1.335,-1.799,-2.089,-0.711,0.662,0.118,-0.4,0.725,-1.107,-0.807,0.806,-0.032,0.37,2.757,0.734,-1.182,-1.599,1.325,2.475,0.024,0.254,-1.798,-1.585,-1.611,0.222,0.873,-1.794,0.297,0.651,0.073,-0.214,-1.452,0.5,2.337,-0.122,0.619,-0.983,-1.309,0.553,0.946,-0.805,1.112,-1.94,1.191,-0.222,-1.377,0.812,-0.065,-0.159,0.767,2.883,-1.279,-1.419,0.257,0.691,-0.124,1.892,-0.145,1.535,-0.994,0.046,-2.043,0.28,0.81,1.436,0.259,1.157,-1.173,0.003,-1.372,1.874,-0.806,-1.426,-1.462,-1.552,0.305,-0.476,-1.022,-1.248,-2.229,-0.402,-1.38,0.172,1.822,-0.46
0.507,0.418,-1.763,0.506,0.714,0.227,-2.346,1.208,1.622,0.071,-0.484,-0.422,0.017,-0.767,0.501,0.865,-0.689,0.141,-0.175,0.852,0.058,0.134,-1.159,1.0,0.353,-0.119,-0.773,0.528,1.553,1.059,-0.509,-0.846,-0.708,0.849,0.628,-0.587,-0.946,1.921,0.067,-0.843,-0.475,-0.687,-1.133,-1.15,0.199,0.6,-1.562,-0.406,0.982,-0.768,-0.625,0.302,0.099,0.557,-0.121,1.287,0.431,-0.691,0.973,-1.306,0.887,-0.334,-1.545,0.792,-0.11,-0.086,0.574,-0.033,0.226,-0.158,-1.832,-0.426,-1.794,-0.616,0.344,-1.718,1.271,0.06,-0.119,1.524,1.749,-0.895,0.441,0.873,-0.929,-0.316,-1.16,-0.326,-0.806,-0.583,-0.079,-0.501,-1.974,-3.205,-1.396,-0.948,-1.736,-1.129,-0.083,0.196
1.841,-0.893,-0.997,-2.574,0.775,-0.728,-0.091,-0.922,0.205,-1.618,-0.448,-0.357,-0.179,-1.504,0.409,-0.625,0.355,-0.63,-0.464,1.003,0.821,-0.306,-0.684,0.191,1.163,-1.411,-0.222,-1.085,-0.744,1.28,0.26,0.832,0.648,1.659,-1.228,-1.192,-1.413,-0.515,-0.504,0.707,-1.703,0.056,-0.57,0.723,0.298,-1.111,-0.564,-1.234,-0.876,0.093,0.146,-0.601,0.055,0.696,0.993,-1.307,-2.245,0.432,-0.164,0.212,2.204,-0.702,1.131,-0.451,0.418,0.475,1.056,1.866,-1.161,0.73,-0.506,-0.354,-0.141,0.362,-1.295,2.016,-0.293,-2.392,-0.261,1.395,2.203,0.946,-1.117,-0.117,-0.84,1.123,0.847,-1.668,0.43,1.4,-0.368,-0.202,-0.685,0.75,1.507,-0.485,0.185,0.148,1.577,-0.372
0.02,-0.658,0.053,-0.449,2.36,1.169,-0.385,-1.293,-0.264,-0.955,0.22,0.182,-0.726,1.451,0.372,-0.948,-0.54,-1.164,-0.128,0.056,-0.462,0.507,1.237,1.077,0.186,1.305,-0.706,-0.139,0.329,0.646,-0.977,0.911,0.159,1.207,1.116,0.127,1.387,-0.426,1.391,0.158,-0.282,-1.371,1.191,-1.189,1.034,0.77,-0.38,-1.274,-2.134,0.069,-1.024,1.458,-0.839,0.204,1.175,0.18,-0.81,-0.321,0.53,-0.543,2.003,-0.481,1.164,0.513,-0.549,0.882,-0.713,0.744,-1.134,-0.567,-0.781,-0.523,0.184,-0.175,-0.513,0.536,-2.939,0.223,-0.794,-0.165,-1.711,0.689,0.186,-0.77,-0.474,-1.153,-0.944,-0.349,0.348,-1.59,0.812,-1.438,1.171,-0.596,-0.4,0.944,-0.49,-2.285,-1.006,-1.591
1.255,-0.507,0.572,-0.78,-0.663,1.092,0.387,0.227,-1.143,-0.056,0.883,0.995,-0.305,0.09,-1.961,0.461,0.829,0.055,-0.13,0.74,2.318,0.334,-0.565,-0.015,-1.361,-0.787,0.357,-0.33,0.744,-0.821,0.733,-1.043,-1.39,0.184,-0.838,-1.399,0.569,1.074,-1.249,2.705,0.978,0.908,-0.338,-0.782,0.453,-1.46,-0.583,2.217,0.075,2.059,-0.483,-1.634,-0.428,1.006,0.42,1.045,0.303,-1.455,-0.083,0.121,-0.865,0.556,0.334,-0.312,0.14,0.409,0.738,-0.105,-1.423,-0.839,0.725,0.28,1.262,-1.077,-0.685,-0.324,0.086,0.345,-0.211,0.487,-0.848,0.998,-0.008,0.768,0.422,-0.598,-0.357,0.244,-0.836,0.467,0.673,0.063,0.65,0.067,0.199,0.95,-1.237,0.331,-1.013,1.241
-0.348,1.26,-0.101,0.961,-2.909,0.16,-0.747,-1.542,-0.818,-2.055,-0.213,-0.121,0.694,-0.446,0.509,2.996,-0.846,-1.354,1.369,-1.202,-0.248,-0.833,1.013,-1.012,0.026,0.753,-0.77,0.732,0.751,0.691,2.438,1.358,-0.969,-0.88,1.933,-0.34,-0.227,-0.121,0.27,-0.033,0.073,-0.799,-0.387,-0.115,0.878,0.367,0.911,-0.742,-0.976,-0.687,0.05,-0.618,0.379,1.887,0.642,1.317,2.15,-0.253,0.534,-0.9,0.564,0.556,0.071,0.351,-0.16,-0.812,-1.031,1.035,-0.117,-0.671,0.648,-1.448,0.016,-0.178,-0.683,-1.12,-0.281,-1.167,-0.337,-0.254,-0.172,-1.503,-1.944,-0.095,1.002,-0.687,-1.312,-1.58,1.166,-0.195,0.232,1.486,0.764,0.817,0.815,-0.389,-2.384,-1.878,-0.813,1.045
0.678,0.265,-0.957,0.569,0.952,-0.077,-0.936,-1.709,-0.591,0.235,-0.824,-0.695,0.132,0.077,-1.079,-1.224,-2.134,0.655,-0.367,-1.11,-0.237,-0.81,1.34,0.774,-1.204,-0.849,-0.185,-0.566,0.597,-1.041,0.828,0.822,1.148,0.143,1.168,-1.555,0.542,-2.54,-1.267,-0.028,1.975,0.47,0.412,-2.927,0.17,-1.079,-0.372,-0.828,1.543,-0.38,-0.581,-1.876,0.686,-0.394,1.598,-0.487,-0.591,-2.102,0.039,-0.865,0.317,-0.178,-0.973,0.631,1.343,0.585,-3.544,1.003,-1.544,-0.924,-0.374,0.747,1.217,1.62,-1.676,-2.423,-1.329,-0.171,-0.314,-0.695,-0.994,-0.271,0.207,-0.21,1.221,1.858,1.555,-0.494,1.124,-0.418,0.211,2.019,-0.994,0.184,0.255,-1.222,0.653,0.426,0.167,-0.85
-2.424,-0.176,0.557,-0.779,0.934,0.226,-0.341,-0.179,-0.062,-0.511,1.335,0.537,-1.426,1.196,1.657,0.585,0.466,0.628,-0.52,-0.81,0.423,1.145,-0.578,-0.467,0.699,-1.036,-0.057,-0.036,-1.258,0.221,1.204,-1.041,0.823,0.421,-0.664,0.528,0.043,0.7,1.468,0.703,1.131,2.197,0.229,-0.69,0.212,0.342,-1.341,-0.911,-0.109,0.371,0.334,-2.013,0.578,2.724,0.675,-0.837,-0.317,1.311,0.157,0.243,-0.614,2.073,-2.756,0.617,-1.134,1.002,-0.422,-0.873,0.886,3.044,0.012,-0.804,0.291,0.417,0.251,0.213,-0.762,-0.388,-0.828,1.093,-1.267,-0.868,1.818,0.314,-0.456,-0.033,-1.249,-0.23,-1.288,-0.129,0.137,-1.546,-1.306,1.756,0.536,1.113,-0.441,-2.195,1.044,0.034
-0.014,2.18,-1.131,0.062,0.686,2.22,0.387,0.439,-1.171,0.751,0.62,-0.143,0.008,1.796,-0.554,0.048,-2.35,1.333,0.534,0.498,-0.744,0.232,0.105,-1.528,-1.106,0.339,-0.103,-0.732,-0.115,0.655,-0.675,0.915,-0.962,0.715,0.186,-0.312,1.979,0.846,-0.03,0.121,2.319,0.022,-2.006,-0.064,0.69,-1.712,1.405,-1.302,2.02,1.169,-0.201,0.047,0.981,2.08,-1.258,-1.044,-1.579,0.055,1.032,1.095,0.883,-0.4,2.655,0.271,1.0,0.77,-0.958,0.91,1.356,-1.13,0.754,-0.666,1.8,0.811,1.265,0.965,-0.483,0.148,-1.114,1.228,-1.024,0.415,-0.75,-0.01,-0.703,-1.587,-0.752,-1.106,-1.225,0.189,1.187,0.039,0.019,-1.055,1.507,-0.849,-0.092,0.1,-1.576,-1.491
1.443,0.411,0.853,1.856,-0.005,-0.512,1.995,-2.2,0.823,0.963,-0.862,-1.54,0.746,-0.481,-0.167,-0.684,-0.559,-0.065,0.575,0.577,1.943,0.286,1.642,-1.004,0.324,1.171,1.127,-0.897,0.806,0.039,0.545,0.436,-0.71,0.75,0.005,0.069,-0.175,-0.248,1.443,-1.099,0.769,0.888,-0.791,-2.178,0.945,-0.614,0.637,-0.137,-0.023,-1.249,-0.339,0.446,0.257,-1.487,-1.148,0.056,-0.016,-0.565,-0.449,0.994,1.161,-1.065,-1.514,0.308,0.632,-0.053,1.321,0.485,1.56,1.772,0.501,0.403,-0.882,0.388,0.004,-0.469,0.463,-1.259,-0.425,0.06,-1.125,0.122,-0.538,-0.965,-0.535,-1.141,-0.782,-0.31,-1.087,-0.542,-0.565,-0.365,-0.487,0.832,2.358,1.103,0.202,-1.105,-1.927,-0.383
-0.038,-0.645,0.104,0.055,1.501,-0.572,0.277,0.172,0.267,1.183,0.845,-1.556,0.212,0.541,1.68,1.089,2.518,0.123,0.965,0.078,-1.33,-0.217,-0.175,-1.219,1.312,1.469,-1.036,0.21,1.359,1.384,-0.497,0.556,-0.414,-0.984,-0.078,-1.159,0.572,0.773,1.646,-0.001,-1.899,0.176,1.123,-0.538,0.646,-0.564,0.577,-0.468,0.74,-0.952,-1.373,-0.151,-0.02,1.667,-0.296,0.28,0.44,-0.534,0.503,-0.193,-1.947,0.943,-0.128,-2.333,1.256,-1.713,0.485,0.966,0.725,0.938,-0.4,1.221,-0.405,-0.006,-1.915,-0.545,1.629,1.233,-1.288,0.347,-1.424,0.057,0.186,0.505,0.039,0.298,0.19,-1.477,1.066,-0.036,1.484,1.186,-1.155,-0.072,-0.103,-0.911,0.065,0.749,0.608,1.372
-0.721,-0.052,2.182,0.396,-1.298,0.633,0.732,-0.107,-1.292,0.008,0.115,0.055,-1.013,1.051,0.483,-0.466,0.766,-2.166,1.428,-1.712,-1.081,-1.299,1.076,-2.09,0.747,0.184,-0.229,-0.203,0.675,0.238,-1.273,-0.531,0.035,-0.751,0.189,0.462,0.0,-0.723,-0.236,-0.931,-0.941,-0.029,0.655,-1.869,-0.831,1.336,-1.5,0.931,0.474,-0.314,-1.103,-0.595,0.495,-0.133,-0.726,0.35,0.046,0.128,1.344,-0.755,-0.114,1.728,0.685,-0.382,0.43,0.084,0.028,-0.382,1.678,0.48,0.632,1.692,-0.988,-0.475,0.036,0.977,-0.028,-0.731,-0.344,0.348,-0.263,0.419,-0.511,1.294,0.18,-0.161,0.093,-2.009,-0.209,-0.552,0.254,-0.647,0.338,-1.699,1.015,-2.264,0.337,0.528,-2.111,-0.515
-0.878,-1.495,-0.412,-0.813,0.236,-0.226,0.506,1.837,1.955,-0.331,1.433,1.132,0.323,0.622,-0.585,1.237,-0.572,-0.37,-1.334,-1.46,-0.211,-0.125,-1.695,-0.002,0.578,0.29,0.317,0.151,0.507,0.42,-1.206,-0.261,-0.073,0.59,0.49,-1.952,0.636,-0.545,0.486,0.168,2.115,0.788,0.601,0.187,0.611,-0.418,-0.245,-0.158,-0.846,1.189,-0.678,0.326,-0.888,1.597,-0.956,0.051,-0.082,1.678,0.333,0.791,-2.105,0.025,-0.438,-1.236,-1.436,-1.078,0.391,1.307,-0.189,0.117,1.787,1.121,-0.489,-1.469,0.897,-0.516,-0.715,1.791,-0.448,-0.657,0.263,-0.693,-0.763,0.082,-0.127,-0.523,0.893,-0.041,0.547,0.948,0.496,1.499,1.067,0.889,0.706,-0.147,0.3,0.15,-1.354,1.193
0.238,-0.165,0.523,0.823,-0.076,0.929,0.979,-1.573,-1.49,0.548,-0.838,1.093,-0.145,0.825,-0.07,-0.958,-0.405,1.42,1.411,-1.287,-0.873,0.788,0.569,1.155,-0.125,0.534,0.358,-0.152,-0.202,0.612,-0.128,1.038,-1.578,3.429,1.092,-0.188,-2.291,0.064,-1.568,-1.106,-0.176,0.208,0.565,0.0,0.467,0.556,-0.188,1.436,-0.236,0.388,0.988,-0.861,-1.581,0.759,1.432,0.287,-0.565,-0.041,0.61,-0.057,1.312,-0.368,-1.927,0.509,1.022,0.603,0.616,-0.152,-0.967,1.318,1.219,-0.63,-0.039,-0.376,-0.41,-1.804,-0.615,-1.284,0.381,-0.17,2.435,-0.333,-1.932,-0.134,-0.851,0.474,-0.908,0.304,-2.694,-1.252,1.183,0.167,-1.617,-0.052,-0.158,0.567,-0.347,-0.604,-0.498,-0.793
-2.419,-0.047,0.105,0.041,0.319,0.411,-0.171,-0.167,-0.568,1.111,-0.983,-0.367,-2.583,1.01,0.031,-0.655,0.608,-0.071,0.385,0.004,1.558,-0.208,-0.689,-2.559,0.183,-0.254,0.295,-0.565,-0.596,-0.808,0.525,-0.827,0.675,2.243,0.416,0.305,-0.662,-0.021,0.046,0.175,0.23,-0.132,1.556,1.958,1.306,-0.014,0.508,-0.544,-0.47,-0.059,1.238,0.2,-1.154,0.435,-1.349,1.506,-1.427,-0.879,0.352,2.11,0.083,-0.645,0.973,0.131,1.813,0.779,0.425,-0.149,-0.761,-0.19,0.061,0.883,-1.177,0.354,-0.902,-1.314,-0.285,0.326,-0.946,-0.835,-0.363,0.391,0.562,0.004,-0.842,0.757,-0.149,-0.374,0.294,-1.222,-0.411,-0.914,0.536,0.371,-0.184,-0.388,1.897,-0.063,1.181,-0.039
0.635,-1.202,0.192,0.813,-0.235,-1.228,1.055,-0.58,0.913,-1.015,1.122,1.302,0.434,0.476,0.519,-0.175,0.233,0.98,0.73,1.002,-2.349,-0.647,0.393,-0.616,0.34,-1.314,-2.129,-1.161,-0.38,1.038,0.481,-0.361,0.808,-0.718,1.486,0.099,1.908,0.413,0.396,1.577,-0.86,0.601,0.198,0.574,-0.073,0.769,-1.256,1.268,2.535,0.063,1.08,1.004,0.821,-0.836,0.189,-0.229,1.153,-0.323,0.796,0.414,0.212,0.333,0.307,1.11,-0.898,-0.464,0.729,1.818,-0.167,-1.331,-0.906,-1.822,2.047,0.016,-1.009,-0.033,0.531,-0.957,1.615,-0.843,0.204,-0.368,0.082,-0.789,-0.164,0.291,-0.909,1.37,-0.16,0.034,-1.142,-1.447,0.648,1.931,-0.179,-0.524,-0.372,0.471,0.05,-0.887
-0.168,1.113,0.329,0.634,-0.971,-2.118,-1.177,-0.089,-0.773,-1.625,-0.25,-0.198,-0.555,0.931,0.763,0.824,-1.172,0.201,0.891,-0.964,0.318,-0.346,0.011,1.044,-0.157,0.029,-0.596,-1.683,-0.222,1.559,-0.044,-1.051,-0.253,0.636,0.268,1.216,-0.306,-0.465,0.739,-0.21,-0.437,-1.494,-0.643,-0.218,1.343,1.038,1.457,-0.57,-0.218,-0.345,-2.121,2.127,-0.133,1.286,1.44,1.751,0.834,0.102,0.78,0.385,-0.956,-0.014,0.531,-2.144,-0.774,1.514,-0.163,-1.603,0.171,0.906,-1.916,1.573,0.589,-1.537,0.674,-0.694,0.091,1.279,-0.768,-1.787,-1.297,1.174,-0.633,0.735,0.654,-0.072,0.84,0.261,-0.991,-1.162,-0.74,0.907,-1.213,0.489,-0.264,0.327,0.866,1.124,0.663,-1.008
0.353,-0.645,0.461,0.956,1.316,-2.011,-0.36,0.108,-0.751,-1.417,-0.792,-0.125,-2.525,-0.117,1.41,0.602,1.869,-0.565,0.538,-2.09,0.713,0.607,0.192,-1.667,1.04,0.846,-1.317,-0.553,-0.172,-1.648,0.529,0.36,0.225,-1.197,-0.119,0.576,-0.158,-1.282,-0.986,-0.702,-0.151,1.243,1.205,0.424,1.858,1.268,0.745,1.367,-1.781,-0.024,1.828,1.397,1.739,-1.014,1.406,0.66,0.258,-1.443,-1.048,0.196,0.059,1.325,0.368,1.181,1.131,-0.155,0.287,0.372,-0.043,-1.732,0.813,-0.718,1.005,1.0,-0.972,-0.761,-0.143,0.504,1.734,-1.026,-2.603,-0.346,-0.809,1.266,-0.705,-1.085,0.981,-1.907,-2.317,-0.036,0.714,1.229,0.132,-1.724,-0.453,0.105,0.815,-0.406,0.851,-0.734
-0.984,1.511,-0.544,1.674,1.02,0.237,-0.348,1.464,1.15,-2.068,0.975,-0.068,-0.11,0.419,0.828,1.103,0.97,1.793,-1.965,-1.407,-0.091,0.704,-0.079,-0.401,-1.156,-0.175,2.181,0.773,0.454,-0.673,-0.789,1.985,-1.035,-0.126,-1.068,0.475,1.351,1.181,-0.827,0.896,0.153,-0.087,-0.83,-0.614,-1.204,1.509,-1.093,-0.871,-1.451,-0.37,1.095,0.168,-1.771,-0.007,-0.099,-0.556,0.215,0.085,0.726,0.381,0.24,0.54,0.576,1.994,1.601,-0.834,-1.538,0.361,0.223,0.155,-1.838,0.474,-0.301,1.022,-0.674,0.783,0.811,0.522,0.573,-1.022,0.664,-0.101,1.65,-1.101,-0.264,-0.52,-0.259,0.269,1.169,0.843,-0.297,-0.641,1.179,1.268,-0.345,1.935,-2.445,-0.188,-0.415,0.207
-1.28,-0.314,0.606,-0.697,0.318,-0.985,1.386,2.195,0.09,0.726,-1.499,0.793,-1.842,-0.226,-0.319,0.054,1.203,-1.0,0.498,-0.592,0.728,-0.315,-0.086,2.928,-0.367,-0.422,0.857,0.929,-1.935,0.961,-0.171,-2.672,-0.904,-0.044,-0.537,0.39,-0.131,0.404,-0.732,1.35,0.74,-0.486,0.016,0.262,0.001,-0.709,1.047,-2.849,-0.28,1.489,0.643,0.16,-0.891,-1.159,0.897,-0.216,1.166,0.377,0.144,0.835,-2.674,-0.013,2.576,-0.557,-0.09,0.029,-1.226,-0.645,1.312,-0.082,0.76,-3.368,0.554,-0.434,0.281,0.368,-0.066,0.728,-1.357,0.286,0.114,-0.35,0.539,-0.744,-1.523,0.739,-0.755,-1.285,-0.351,-1.503,-1.136,0.836,-0.123,-0.647,1.454,-0.17,0.881,-1.984,-0.125,0.897
2.396,-2.161,1.899,0.061,-0.404,0.145,-0.331,-1.102,1.581,0.802,-2.273,-0.352,-0.045,0.062,1.059,-0.346,0.267,-0.16,-0.665,0.24,-0.206,-0.308,0.8,-1.031,0.698,1.805,0.138,-0.007,-0.638,-0.216,0.952,-0.541,-0.523,0.883,-1.785,0.333,0.266,2.049,-1.498,-0.378,-0.016,-1.5,1.082,-2.044,0.428,-1.13,-0.483,-1.282,-0.799,1.531,1.594,0.242,1.807,-0.153,-1.255,-0.917,-0.499,-0.842,-0.214,0.516,-0.434,-0.732,0.819,-0.997,-2.171,-0.002,0.756,0.795,-0.639,0.543,0.551,1.913,-0.853,0.787,-0.002,1.935,-1.232,0.0,0.078,-0.395,-0.029,0.501,0.389,1.491,-0.235,-1.11,0.586,-0.919,0.43,-0.683,0.161,0.696,0.944,-2.55,-0.086,-1.196,-0.108,0.008,0.027,0.389
-0.05,-1.929,0.673,-0.92,0.185,1.451,2.231,0.295,-0.31,2.387,1.549,1.509,1.154,-0.047,0.695,0.872,0.044,-0.313,-0.227,0.253,0.213,-0.727,1.538,-1.141,-1.164,1.425,0.735,-2.546,-2.376,-3.455,0.312,-1.021,-1.282,0.792,-0.649,-1.279,-1.262,-1.133,1.461,-0.223,0.085,0.044,1.365,1.419,-0.306,-2.139,-0.59,-1.022,2.211,-2.2,0.056,0.226,-0.348,0.065,0.463,-1.209,-0.207,-0.115,0.263,0.522,0.697,2.031,0.239,0.528,0.234,0.419,-0.264,-0.832,2.099,0.717,-0.24,1.149,0.802,0.95,0.437,1.61,1.046,-0.452,0.047,-1.671,0.052,1.47,-0.971,-1.709,0.246,0.918,0.029,1.108,0.355,0.337,0.716,1.321,0.933,-0.552,1.395,-1.832,0.547,-0.352,-0.317,-1.346
1.438,-1.591,1.858,1.815,0.484,1.357,1.51,0.101,1.597,-1.376,0.236,-0.113,-0.939,-0.914,1.169,0.435,0.142,1.048,-0.555,-0.762,-0.797,0.412,-0.985,-0.908,-0.513,-1.107,0.814,-0.255,1.105,0.735,-0.744,1.045,-2.087,-2.231,-1.352,0.351,-0.471,-1.362,-0.312,-1.266,0.337,0.214,-1.028,-0.498,0.444,-0.75,0.888,-2.641,1.161,0.017,-0.173,0.545,-0.966,-0.023,1.026,0.804,-0.429,-1.582,0.45,-0.155,-0.967,-0.962,0.153,-0.036,1.756,-0.395,-0.75,-2.181,-0.094,-0.389,-0.544,0.084,-0.373,0.814,1.469,0.751,1.253,-0.003,-0.905,-0.986,0.613,-1.924,-0.395,-0.108,0.884,-1.548,-0.366,-0.756,1.233,1.075,1.085,-0.934,0.194,-1.195,-0.422,-0.627,0.796,-1.667,-0.648,-1.394
-0.69,1.409,0.526,-1.224,1.102,-0.21,0.065,0.371,-0.442,-0.232,-1.796,-1.212,0.468,-0.293,0.615,-0.502,0.7,-0.836,0.064,-0.933,1.067,-0.35,-0.046,-0.469,1.189,-1.259,-1.006,0.439,0.056,-0.59,0.426,0.654,-0.116,-0.86,0.743,0.471,-0.042,-0.303,-0.511,-0.341,0.062,-0.098,-0.189,1.967,1.064,-1.644,-1.002,-0.418,1.797,0.128,0.727,-1.468,-0.452,0.334,3.196,0.019,-0.83,-0.668,-0.71,0.738,0.361,-0.468,-1.323,0.377,0.123,2.47,-0.081,0.162,0.973,-0.081,-0.62,0.468,-0.318,0.594,0.872,1.341,1.045,-0.129,0.112,-0.276,0.802,-0.767,-0.397,1.208,-0.648,-1.195,0.591,0.85,0.623,-0.359,0.297,1.176,0.436,-1.231,0.523,1.576,-0.501,-0.012,0.669,0.274
-0.098,0.194,-0.205,0.945,-1.105,-1.913,0.218,-1.753,-0.635,2.319,1.973,0.367,-0.415,-1.035,-1.037,-0.909,-0.336,-0.031,0.363,0.644,-1.063,0.796,-1.671,-1.5,0.174,0.03,-0.331,0.472,-0.156,0.348,1.488,-0.899,0.048,0.863,0.668,-1.645,-0.069,1.292,-0.88,1.008,-0.451,1.938,-1.105,-1.547,0.51,2.281,-1.634,-2.423,-0.802,0.543,0.214,-1.454,-1.109,-0.1,-0.213,0.695,-1.7,0.308,0.668,0.408,-1.238,-1.15,-1.528,0.791,-0.628,-0.55,0.445,-0.218,-1.088,0.449,0.12,-0.583,-0.305,-0.397,-1.696,-0.939,0.294,3.04,-0.587,-0.565,-0.456,-0.729,-0.218,-1.859,0.743,-1.301,0.185,1.148,-0.598,0.36,-0.236,-0.228,-0.947,-0.756,-1.251,2.368,1.085,-1.589,0.035,0.888
0.133,-1.032,0.793,-0.438,1.031,-1.168,-0.115,-0.09,0.641,0.341,-0.258,2.199,-1.396,0.585,0.021,0.018,0.969,-0.666,-0.115,1.002,1.265,-1.794,0.197,-0.069,-1.279,-0.558,-0.584,0.351,-0.37,-0.599,-1.097,0.546,-1.513,-1.761,0.489,-0.071,1.845,1.235,-0.035,0.335,0.272,-1.177,-0.281,1.437,-0.821,-1.032,-2.673,-0.393,0.55,-0.565,0.124,-0.876,0.275,0.149,-0.274,0.317,-0.286,1.587,0.058,-0.926,0.505,0.648,1.088,-0.409,-0.451,0.754,-0.053,1.577,0.457,0.991,0.552,0.182,-0.809,1.094,0.666,1.083,-0.947,0.732,1.001,0.089,-1.261,0.369,0.603,0.755,0.687,0.535,1.315,-0.148,1.392,0.049,-1.635,-0.201,-2.948,-2.064,0.329,1.447,0.764,-0.941,0.272,-0.445
-0.596,0.377,-1.0,0.258,-0.933,0.391,1.132,-1.295,0.78,1.007,1.659,-0.548,1.691,-1.742,0.826,-2.47,0.043,-1.02,1.054,0.847,0.595,1.498,-1.517,-0.415,0.673,1.265,-2.281,-1.044,-0.207,-1.349,-0.361,1.477,-0.629,0.93,1.143,-1.93,0.636,-0.693,1.324,-0.427,0.82,-2.113,0.184,1.83,-0.795,-0.667,-0.998,1.201,0.23,0.733,-0.348,1.103,0.286,-1.302,-0.346,1.635,-0.443,1.211,-2.147,0.538,-0.026,2.293,-0.463,-0.397,0.285,0.015,0.461,-0.219,0.759,1.918,0.897,-0.355,0.57,-0.746,-0.237,0.102,0.154,-0.95,0.366,1.238,-0.757,1.774,2.099,-0.9,-0.06,-0.688,-0.828,-0.101,-0.243,1.142,-1.468,-0.782,0.927,-0.443,-0.346,-0.293,0.173,0.681,-0.157,0.695
-0.045,1.166,0.9,-0.609,0.463,1.154,1.09,0.048,1.331,-1.24,-0.204,-0.495,-1.604,0.746,-1.781,0.918,0.011,0.032,-0.721,-0.567,0.415,0.099,-0.543,-3.026,-0.615,-0.13,-0.978,-0.334,2.014,0.945,1.486,1.192,0.323,-0.156,-0.682,-1.29,1.061,1.095,-0.307,1.052,0.041,0.272,-1.622,-1.692,1.49,-2.203,0.807,0.486,-1.578,0.278,0.783,-0.543,-0.08,-0.27,-2.143,0.052,0.19,0.107,-0.558,-1.274,1.406,0.385,-1.538,-0.326,0.305,0.078,1.858,-1.94,-0.694,1.098,-0.651,0.848,1.766,0.415,1.669,-0.876,-0.441,-0.693,-0.701,0.087,0.642,0.293,-0.709,0.976,-0.756,1.862,0.021,0.109,0.076,0.642,-0.837,0.911,0.303,2.904,0.962,1.521,-1.699,-1.354,1.365,-1.74
